game,platform,metric_scope,copies_sold,physical_share_pct,positive_review_pct,release_date,price_usd,as_of_date,source_url,notes
Windrose,Steam,lifetime,1300000,,,2026-04-14,30,2026-04-24,https://alineaanalytics.substack.com/p/windrose-sails-past-13m,1.3M players 9-10 days in; RRP $30 / intro $27; peak 527K DAU first Sunday / floor 450K DAU; 1/3 played 20+ hrs / ~6% 50+ hrs; 60% played Valheim / 40% Sea of Thieves
Pragmata,Steam,lifetime,700000,,,,,2026-04-24,https://alineaanalytics.substack.com/p/windrose-sails-past-13m,700K+ sold on Steam as of this article
Vampire Crawlers,Steam,lifetime,400000,,,,,2026-04-24,https://alineaanalytics.substack.com/p/windrose-sails-past-13m,approx; nearing 400K despite only out a few days
Palworld,Steam,launch (day 9),12000000,,,,,2026-04-24,https://alineaanalytics.substack.com/p/windrose-sails-past-13m,approx; reference point; ~12M sold by day 9 in 2024
Forza Horizon 6,Steam,pre-launch,500000,,,,,2026-04-16,https://alineaanalytics.substack.com/p/forza-horizon-6-has-pre-sold-500k,over a month before launch; nearing $30M; best-selling Forza on Steam pre-launch
Starfield,PS5,launch (1 week),140000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,140K copies / $7.7M in one week; 2.5-yr delayed port; 81% played Fallout 4 / 66% Skyrim / 8% Japan
Starfield,Steam,lifetime,3700000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,had 3.7M on Steam before PS5 port; total Steam revenue now past $200M
Starfield,Xbox,lifetime,1000000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,over 1M despite Game Pass cannibalising sales; approx
Forza Horizon 5,PS5,lifetime,5700000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,upwards of $320M; phenomenal for a legacy port
Gears of War Reloaded,all,lifetime,1000000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,passed 1M across all platforms; PS5 accounts for over 70%
Ninja Gaiden 4,PS5,launch (6 days),100000,,,,,2026-04-14,https://alineaanalytics.substack.com/p/starfield-has-sold-140k-copies-on,approx; almost 100K six days after day-one PS5 launch
Slay the Spire 2,Steam,lifetime,6500000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,~1M players already played 100+ hours after 2 months in EA
Mewgenics,Steam,lifetime,1800000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,2026 roguelike
RACCOIN: Coin Pusher Roguelike,Steam,lifetime,550000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,2026 roguelike
Vampire Crawlers,all,lifetime,1000000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,approx; coming up on 1M sold across platforms
Saros,PS5,lifetime,350000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,approx; almost 350K on PS5
Barony,Steam,lifetime,1000000,,,2015-01-01,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,a little over 1M since 2015 launch; release date approx
CloverPit,Steam,lifetime,1700000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,over 1.7M; base game $12.7M; overall with DLC ~$13M; 308K played during DLC launch month
Monster Train 2,Steam,lifetime,525000,,,,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,launched ~1 yr ago; ~2/3 of base also bought Slay the Spire 2
Ravenswatch,Steam,lifetime,1200000,,,2024-09-01,,2026-05-14,https://alineaanalytics.substack.com/p/steam-dlc-data-high-attach-rates,since Sept 2024; release date approx
Echoes of Aincrad,Steam,pre-launch,50000,,,,70,2026-06-23,https://alineaanalytics.substack.com/p/steam-next-fests-winners-and-why,approx; sold 50K+ on Steam pre-launch; $70 price may throttle wishlist conversion
Bloodborne,PlayStation,lifetime,9300000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Bloodborne only platform is PlayStation; 16M players overall including PS Plus
Marvel's Spider-Man 2,PS5,lifetime,16000000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Sells 100K-200K copies/month on PS5; ~1M more expected this quarter
Marvel's Spider-Man 2,Steam,lifetime,700000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,700K+; softer than first Spider-Man; approx
Clair Obscur: Expedition 33,all,lifetime,5500000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,5.5M+ overall; ~3M Steam / 2M PS5 / ~500K Xbox; approx
Clair Obscur: Expedition 33,Steam,lifetime,3000000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,about 3M on Steam; approx
Clair Obscur: Expedition 33,PS5,lifetime,2000000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,about 2M on PS5; approx
Clair Obscur: Expedition 33,Xbox,lifetime,500000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,~500K on Xbox; Game Pass cannibalised Xbox/PC copies; approx
Clair Obscur: Expedition 33,Steam,launch (nominees week),100000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,~100K sold on Steam during TGA nominees week (11 nominations)
Clair Obscur: Expedition 33,PS5,launch (nominees week),50000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,~50K sold on PS5 during TGA nominees week
Clair Obscur: Expedition 33,Xbox,launch (nominees week),5000,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,fewer than 5K on Xbox during nominees week; +40K new Game Pass players that week; approx
Cyberpunk 2077,all,estimate,35070508,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Alinea estimate; CD Projekt announced 35M; diff 0.2%
Red Dead Redemption 2,all,estimate,71302557,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Alinea estimate; Take-Two announced 79M; diff -10.2%
ARC Raiders,all,estimate,3995393,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Alinea estimate; Nexon announced 4M; diff -0.1%
Dragon's Dogma II,all,estimate,4230570,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Alinea estimate; Capcom announced 4M; diff 5.6%
Kingdom Come: Deliverance 2,all,estimate,3798973,,,,,2025-11-28,https://alineaanalytics.substack.com/p/our-most-requested-estimates-and,Alinea estimate; Warhorse announced 4M; diff -5.2%
ARC Raiders,Steam,lifetime,4000000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,total on Steam; approx
ARC Raiders,all,lifetime,7000000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,approaching 7M across all platforms; approx
PEAK,Steam,lifetime,15000000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,on the cusp of 15M; 14M existing owners; approx
RV There Yet?,Steam,lifetime,4000000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,nearing 4M; approx
Risk of Rain 2,Steam,lifetime,10000000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,nearing 10M on Steam; base game 66%-off promo; approx
Dispatch,Steam,two weeks,520000,,,,,2025-11-24,https://alineaanalytics.substack.com/p/arc-raiders-dominated-steam-again,520K in past two weeks
PlayStation Studios (all games on Steam),Steam,lifetime,43000000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,aggregate PS Studios titles on Steam; Sony took ~$1.2B; Valve took $350M+; approx
Helldivers 2,Steam,lifetime,12700000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,$400M gross; 200K daily players on Steam; sold 2x+ vs PS5
Helldivers 2,all,lifetime,20000000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,about to cross 20M all platforms; approx
Horizon Zero Dawn,Steam,lifetime,4500000,,,2020-08-01,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,release date approx (Aug 2020); Sony first major exclusive on Steam
God of War,Steam,lifetime,4200000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,almost $150M approx; 2.5M sold after 427 days on Steam; GOTY 2018
Days Gone,Steam,lifetime,3400000,,,2021-05-01,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,release date approx (May 2021)
Marvel's Spider-Man Remastered,Steam,lifetime,2700000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,premium PC features drove day-one sales
Marvel's Spider-Man,Steam,lifetime,1400000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,1.4M after 294 days on Steam; ~12% crossover with Spider-Man 2
Ghost of Tsushima,Steam,lifetime,2000000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,PC version over 2M; approx
Bloodborne,PlayStation,lifetime,9000000,,,,,2025-11-21,https://alineaanalytics.substack.com/p/the-top-selling-playstation-games,over 9M on PlayStation; +400K in six months after Elden Ring; approx
Hollow Knight: Silksong,all,lifetime,5500000,,,2025-09-04,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,1M via console; approaching $100M revenue; 2M accessed via Game Pass; approx
Clair Obscur: Expedition 33,all,lifetime,5300000,,,2025-04-24,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,~3M Steam / 1.8M PS5 / 500K+ Xbox; 3M accessed via Game Pass
Clair Obscur: Expedition 33,Steam,lifetime,3000000,,,,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,around 3M on Steam; approx
Clair Obscur: Expedition 33,PS5,lifetime,1800000,,,,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,about 1.8M on PS5; approx
Clair Obscur: Expedition 33,Xbox,lifetime,500000,,,,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,500K+ on Xbox; approx
Kingdom Come: Deliverance 2,all,lifetime,4000000,,,2025-02-04,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,nearing 4M across Steam/PS/Xbox; almost 2/3 from Steam; Warhorse announced 4M incl Epic and Windows; approx
Hades II,Steam,lifetime,3000000,,,2025-09-25,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,almost 3M since early access; 1.0 launched Sep 25 2025; early access May 2024; 100K daily players on Steam; approx
Donkey Kong Bananza,Switch 2,lifetime,3490000,,,,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,Nintendo official; as of Sep 30 2025; attach rate 34% of 10.36M Switch 2 units sold
Donkey Kong Country,all,lifetime,9300000,,,,,2025-11-18,https://alineaanalytics.substack.com/p/the-game-awards-nominees-by-copies,historical reference; current best-selling Donkey Kong game
Ghost of Tsushima,Steam,lifetime,2000000,,,,,2025-11-13,https://alineaanalytics.substack.com/p/valves-bold-expected-return-to-the,PC version over 2M copies; approx
ARC Raiders,Steam,lifetime,2400000,,,,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,$80M gross on Steam via copies incl regional pricing; approx
ARC Raiders,all,estimate,3700000,,,,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,Alinea estimate across Steam/PS5/Xbox; Embark announced 4M+; up from 2.5M; also on Epic; margin -7.5%
RV There Yet?,Steam,lifetime,3300000,,,,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,total 3.3M; approx
PEAK,Steam,lifetime,14000000,,,,,2025-11-11,https://alineaanalytics.substack.com/p/last-weeks-top-steam-games-by-copies,just shy of 14M; approx
